Age,Gender,Class,Joined,Married,Fare,Survived
41.0,Male,C3,Southampton,0.0,7.0,0
21.0,Male,Crew,Southampton,0.0,0.0,0
13.0,Male,C3,Southampton,,20.0,0
16.0,Male,C3,Southampton,0.0,,0
,Male,C2,Cherbourg,0.0,24.0,0
34.0,Male,,Southampton,1.0,0.0,0
45.0,Male,C3,Cherbourg,0.0,7.0,0
19.0,Male,C3,Cherbourg,0.0,7.0,0
26.0,Male,C3,Southampton,0.0,8.0,0
26.0,Male,Crew,Southampton,0.0,0.0,0
20.0,Male,Crew,Southampton,0.0,0.0,0
40.0,Female,C3,Southampton,1.0,9.0,0
24.0,Male,C3,Southampton,0.0,7.0,0
,Male,Crew,Southampton,0.0,0.0,0
37.0,Male,Crew,Southampton,1.0,0.0,0
35.0,Male,Crew,Southampton,1.0,13.0,0
19.0,Male,C3,Southampton,0.0,7.0,0
25.0,Male,C3,Southampton,0.0,7.0,0
22.0,Male,Crew,Southampton,0.0,0.0,0
26.0,Male,Crew,Southampton,1.0,0.0,0
30.0,Male,Crew,Southampton,1.0,0.0,0
35.0,Male,Crew,Southampton,1.0,0.0,0
39.0,Male,C3,Southampton,1.0,8.0,0
2.0,Female,C1,Southampton,0.0,151.0,0
,Male,C1,Southampton,1.0,,0
25.0,Female,C1,Southampton,1.0,151.0,0
36.0,Male,Crew,Belfast,1.0,0.0,0
43.0,Male,Crew,Belfast,1.0,0.0,0
,Male,C3,Southampton,0.0,8.0,0
33.0,Male,C3,Southampton,1.0,22.0,0
50.0,Male,Crew,Southampton,0.0,0.0,0
4.0,Male,C3,Southampton,0.0,31.0,0
6.0,Female,C3,Southampton,0.0,31.0,0
2.0,Female,C3,Southampton,0.0,31.0,0
38.0,Female,C3,Southampton,0.0,7.0,0
9.0,Female,C3,Southampton,0.0,31.0,0
11.0,Female,C3,Southampton,0.0,31.0,0
39.0,Male,C3,Southampton,1.0,31.0,0
26.0,Male,C3,Southampton,0.0,7.0,0
39.0,Female,C3,Southampton,1.0,31.0,0
20.0,Male,C3,Southampton,0.0,7.0,0
17.0,Male,C2,Southampton,0.0,11.0,0
26.0,Male,C2,Southampton,1.0,10.0,0
39.0,Male,Crew,Belfast,1.0,0.0,0
31.0,Male,C2,Southampton,1.0,26.0,0
,Male,C3,Southampton,1.0,17.0,0
18.0,Female,C3,Southampton,1.0,17.0,0
71.0,Male,C1,Cherbourg,0.0,49.0,0
57.0,Male,C2,Southampton,1.0,13.0,0
41.0,Male,Crew,Southampton,1.0,0.0,0
35.0,Male,C3,Southampton,0.0,7.0,0
5.0,Male,C3,Southampton,0.0,31.0,0
9.0,Male,C3,Southampton,0.0,31.0,0
13.0,Male,C3,Southampton,0.0,31.0,0
40.0,Male,C3,Southampton,1.0,31.0,0
23.0,Male,C3,Southampton,0.0,7.0,0
47.0,Male,C1,Cherbourg,0.0,247.0,0
27.0,Male,C3,Cherbourg,0.0,7.0,0
18.0,Female,C3,Cherbourg,0.0,14.0,0
23.0,Male,Crew,Southampton,1.0,0.0,0
37.0,Male,Crew,Belfast,1.0,0.0,0
32.0,Male,C3,Southampton,0.0,15.0,0
40.0,Male,C3,Cherbourg,0.0,7.0,0
33.0,Male,Crew,Southampton,1.0,0.0,0
44.0,Male,Crew,Belfast,0.0,0.0,0
46.0,Male,Crew,Southampton,1.0,0.0,0
18.0,Male,C2,Southampton,0.0,11.0,0
22.0,Male,C2,Southampton,0.0,10.0,0
58.0,Male,Crew,Southampton,0.0,0.0,0
42.0,Male,C2,Southampton,0.0,13.0,0
24.0,Male,Crew,Southampton,0.0,0.0,0
28.0,Male,C2,Southampton,1.0,10.0,0
34.0,Male,Crew,Southampton,1.0,0.0,0
45.0,Female,C3,Cherbourg,0.0,14.0,0
19.0,Male,Crew,Southampton,0.0,0.0,0
40.0,Male,Crew,Southampton,1.0,0.0,0
42.0,Male,Crew,Belfast,1.0,0.0,0
39.0,Male,Crew,Southampton,0.0,0.0,0
29.0,Male,Crew,Southampton,0.0,0.0,0
40.0,Male,Crew,Southampton,0.0,0.0,0
39.0,Male,Crew,Southampton,1.0,0.0,0
16.0,Male,Crew,Southampton,0.0,0.0,0
34.0,Male,Crew,Belfast,1.0,0.0,0
30.0,Female,C3,Queenstown,0.0,7.0,0
22.0,Male,C3,Southampton,0.0,8.0,0
27.0,Male,Crew,Southampton,0.0,0.0,0
52.0,Male,C2,Southampton,1.0,12.0,0
48.0,Male,C1,Cherbourg,0.0,25.0,0
53.0,Male,Crew,Southampton,0.0,0.0,0
24.0,Male,C1,Cherbourg,0.0,247.0,0
55.0,Male,Crew,Southampton,1.0,0.0,0
33.0,Male,Crew,Southampton,0.0,0.0,0
30.0,Male,C3,Cherbourg,0.0,7.0,0
40.0,Male,Crew,Belfast,1.0,0.0,0
36.0,Male,C1,Southampton,0.0,75.0,0
,Male,C2,Southampton,1.0,26.0,0
20.0,Male,C3,Southampton,0.0,8.0,0
31.0,Male,Crew,Southampton,0.0,0.0,0
51.0,Male,Crew,Belfast,1.0,0.0,0
23.0,Male,Crew,Southampton,0.0,0.0,0
30.0,Male,Crew,Southampton,0.0,0.0,0
47.0,Male,Crew,Southampton,0.0,0.0,0
22.0,Male,C3,Southampton,0.0,9.0,0
23.0,Male,C2,Southampton,0.0,13.0,0
31.0,Male,Crew,Southampton,1.0,0.0,0
25.0,Male,Crew,Southampton,0.0,0.0,0
21.0,Male,C3,Southampton,0.0,7.0,0
24.0,Male,C1,Cherbourg,0.0,26.0,0
28.0,Male,Crew,Southampton,0.0,0.0,0
18.0,Male,C3,Southampton,0.0,7.0,0
41.0,Male,Crew,Southampton,0.0,0.0,0
45.0,Male,C1,Southampton,0.0,35.0,0
17.0,Male,Crew,Southampton,0.0,0.0,0
26.0,Male,Crew,Belfast,0.0,0.0,0
36.0,Male,Crew,Southampton,1.0,0.0,0
32.0,Male,Crew,Southampton,0.0,0.0,0
43.0,Male,Crew,Southampton,1.0,0.0,0
59.0,Male,Crew,Southampton,1.0,0.0,0
45.0,Male,Crew,Belfast,1.0,0.0,0
41.0,Male,C1,Southampton,1.0,26.0,0
32.0,Male,Crew,Belfast,1.0,0.0,0
25.0,Male,C2,Southampton,0.0,13.0,0
46.0,Male,Crew,Southampton,0.0,0.0,0
18.0,Male,C3,Cherbourg,0.0,7.0,0
40.0,Female,C3,Queenstown,0.0,7.0,0
42.0,Male,C3,Queenstown,1.0,15.0,0
32.0,Female,C3,Queenstown,1.0,15.0,0
20.0,Male,C3,Southampton,0.0,16.0,0
,Male,C2,Southampton,1.0,13.0,0
38.0,Male,Crew,Southampton,1.0,0.0,0
42.0,Male,Crew,Southampton,1.0,0.0,0
41.0,Male,C1,Southampton,0.0,30.0,0
20.0,Female,C3,Southampton,0.0,7.0,0
48.0,Male,C1,Cherbourg,0.0,50.0,0
29.0,Male,C3,Southampton,0.0,7.0,0
22.0,Male,C3,Southampton,0.0,7.0,0
45.0,Male,C1,Cherbourg,1.0,39.0,0
52.0,Male,Crew,Belfast,1.0,0.0,0
40.0,Male,C2,Southampton,0.0,13.0,0
40.0,Male,C3,Southampton,1.0,8.0,0
28.0,Male,Crew,Southampton,1.0,0.0,0
33.0,Male,Crew,Belfast,1.0,0.0,0
60.0,Male,C2,Southampton,0.0,39.0,0
41.0,Male,Crew,Belfast,0.0,0.0,0
25.0,Male,C2,Southampton,0.0,26.0,0
23.0,Female,C3,Queenstown,0.0,7.0,0
34.0,Male,Crew,Southampton,0.0,0.0,0
20.0,Male,Crew,Belfast,0.0,0.0,0
19.0,Male,C3,Queenstown,0.0,6.0,0
29.0,Male,Crew,Belfast,1.0,0.0,0
15.0,Female,C3,Queenstown,0.0,7.0,0
29.0,Male,Crew,Southampton,1.0,0.0,0
35.0,Male,Crew,Southampton,0.0,0.0,0
21.0,Male,C3,Cherbourg,1.0,7.0,0
46.0,Male,C1,Southampton,0.0,26.0,0
44.0,Male,Crew,Southampton,0.0,0.0,0
7.0,Male,C3,Cherbourg,0.0,15.0,0
10.0,Female,C3,Cherbourg,0.0,15.0,0
40.0,Female,C3,Cherbourg,1.0,15.0,0
28.0,Male,Crew,Southampton,0.0,31.0,0
33.0,Male,Crew,Belfast,0.0,0.0,0
,Female,C3,Queenstown,0.0,7.0,0
21.0,Male,C3,Queenstown,0.0,7.0,0
29.0,Male,C3,Southampton,1.0,8.0,0
28.0,Male,C3,Cherbourg,0.0,14.0,0
19.0,Male,C2,Southampton,0.0,13.0,0
28.0,Male,C3,Southampton,1.0,7.0,0
33.0,Male,C1,Southampton,0.0,5.0,0
45.0,Female,C3,Queenstown,0.0,7.0,0
27.0,Male,C1,Southampton,0.0,47.0,0
17.0,Male,C1,Southampton,0.0,47.0,0
45.0,Female,C2,Southampton,1.0,26.0,0
54.0,Male,C2,Southampton,0.0,26.0,0
,Male,C3,Southampton,0.0,7.0,0
49.0,Male,C1,Southampton,1.0,26.0,0
36.0,Male,C1,Southampton,1.0,78.0,0
24.0,Male,C3,Southampton,0.0,8.0,0
46.0,Male,C1,Southampton,0.0,61.0,0
51.0,Male,C2,Southampton,0.0,13.0,0
37.0,Male,C2,Southampton,1.0,26.0,0
30.0,Female,C2,Southampton,1.0,26.0,0
20.0,Male,C3,Queenstown,0.0,7.0,0
27.0,Male,Crew,Belfast,0.0,0.0,0
29.0,Male,C3,Southampton,0.0,8.0,0
26.0,Male,C3,Cherbourg,0.0,14.0,0
21.0,Male,C3,Cherbourg,0.0,14.0,0
27.0,Male,C1,Cherbourg,1.0,136.0,0
29.0,Male,C2,Southampton,1.0,26.0,0
40.0,Male,C1,Southampton,1.0,52.0,0
21.0,Male,Crew,Southampton,1.0,0.0,0
24.0,Male,C3,Queenstown,0.0,7.0,0
57.0,Male,Crew,Belfast,1.0,0.0,0
29.0,Male,C2,Southampton,0.0,10.0,0
27.0,Male,C2,Southampton,0.0,13.0,0
37.0,Male,C1,Southampton,0.0,25.0,0
37.0,Male,C1,Cherbourg,0.0,83.0,0
30.0,Male,C3,Queenstown,0.0,7.0,0
40.0,Male,C3,Queenstown,0.0,7.0,0
41.0,Female,C3,Queenstown,0.0,7.0,0
66.0,Male,C3,Queenstown,0.0,7.0,0
25.0,Male,Crew,Belfast,0.0,0.0,0
43.0,Male,C3,Southampton,0.0,8.0,0
45.0,Male,Crew,Southampton,1.0,0.0,0
27.0,Male,Crew,Southampton,1.0,0.0,0
30.0,Female,C2,Southampton,1.0,13.0,0
32.0,Female,C2,Southampton,1.0,21.0,0
30.0,Male,C3,Southampton,1.0,8.0,0
21.0,Male,C2,Southampton,0.0,11.0,0
49.0,Male,Crew,Southampton,0.0,0.0,0
58.0,Male,C3,Southampton,0.0,7.0,0
27.0,Male,Crew,Belfast,1.0,0.0,0
58.0,Male,C1,Southampton,0.0,26.0,0
43.0,Male,C3,Southampton,0.0,16.0,0
70.0,Male,C1,Southampton,0.0,71.0,0
44.0,Male,Crew,Southampton,1.0,0.0,0
35.0,Male,Crew,Belfast,1.0,0.0,0
39.0,Male,C1,Cherbourg,0.0,71.0,0
21.0,Male,Crew,Belfast,0.0,0.0,0
22.0,Female,C3,Southampton,0.0,10.0,0
19.0,Male,C3,Southampton,0.0,10.0,0
1.0,Male,C3,Southampton,0.0,14.0,0
34.0,Male,C3,Southampton,0.0,14.0,0
28.0,Female,C3,Southampton,1.0,14.0,0
18.0,Male,Crew,Southampton,0.0,0.0,0
31.0,Male,C1,Cherbourg,0.0,52.0,0
24.0,Male,C3,Southampton,1.0,24.0,0
19.0,Male,C2,Southampton,0.0,73.0,0
22.0,Male,C3,Southampton,0.0,24.0,0
17.0,Male,C3,Southampton,0.0,8.0,0
32.0,Male,C3,Southampton,1.0,16.0,0
16.0,Male,C3,Southampton,0.0,9.0,0
17.0,Male,C2,Southampton,0.0,73.0,0
25.0,Male,C3,Southampton,0.0,20.0,0
34.0,Male,Crew,Belfast,0.0,0.0,0
29.0,Male,C2,Cherbourg,1.0,27.0,0
25.0,Male,C2,Southampton,0.0,31.0,0
30.0,Male,C3,Southampton,0.0,7.0,0
27.0,Male,C3,Southampton,0.0,7.0,0
28.0,Male,Crew,Belfast,0.0,0.0,0
18.0,Male,C2,Southampton,0.0,73.0,0
17.0,Male,C3,Southampton,0.0,7.0,0
42.0,Male,C3,Southampton,1.0,8.0,0
43.0,Male,C3,Southampton,0.0,7.0,0
49.0,Male,Crew,Southampton,1.0,0.0,0
39.0,Male,Crew,Belfast,0.0,0.0,0
44.0,Male,Crew,Belfast,1.0,0.0,0
22.0,Male,C3,Queenstown,0.0,8.0,0
38.0,Male,Crew,Belfast,1.0,0.0,0
31.0,Male,Crew,Belfast,1.0,0.0,0
21.0,Female,C3,Queenstown,0.0,7.0,0
37.0,Male,C3,Queenstown,0.0,7.0,0
50.0,Male,C1,Cherbourg,0.0,106.0,0
55.0,Male,C2,Southampton,1.0,26.0,0
28.0,Female,C3,Queenstown,0.0,7.0,0
33.0,Male,C3,Cherbourg,1.0,7.0,0
42.0,Male,C2,Southampton,1.0,32.0,0
39.0,Male,C1,Cherbourg,0.0,29.0,0
48.0,Male,Crew,Southampton,0.0,0.0,0
65.0,Male,C3,Queenstown,1.0,7.0,0
24.0,Male,Crew,Belfast,0.0,0.0,0
23.0,Male,C3,Southampton,1.0,13.0,0
28.0,Male,C3,Cherbourg,0.0,7.0,0
29.0,Male,C3,Cherbourg,1.0,7.0,0
48.0,Male,Crew,Southampton,1.0,0.0,0
16.0,Male,C3,Southampton,0.0,7.0,0
45.0,Male,C3,Southampton,1.0,6.0,0
22.0,Male,C3,Cherbourg,0.0,7.0,0
39.0,Male,C3,Cherbourg,0.0,7.0,0
15.0,Male,C3,Cherbourg,0.0,7.0,0
48.0,Male,C3,Southampton,1.0,7.0,0
21.0,Male,C2,Southampton,0.0,13.0,0
18.0,Male,Crew,Belfast,0.0,0.0,0
37.0,Male,C3,Southampton,0.0,7.0,0
36.0,Female,C1,Cherbourg,0.0,31.0,0
37.0,Male,C3,Southampton,1.0,15.0,0
18.0,Male,C2,Southampton,0.0,13.0,0
46.0,Male,C3,Southampton,1.0,7.0,0
22.0,Male,Crew,Belfast,0.0,0.0,0
26.0,Male,C3,Queenstown,0.0,7.0,0
48.0,Male,Crew,Southampton,1.0,221.0,0
31.0,Male,C2,Southampton,0.0,26.0,0
18.0,Male,C2,Southampton,0.0,10.0,0
22.0,Female,C3,Queenstown,0.0,7.0,0
25.0,Male,Crew,Belfast,1.0,0.0,0
28.0,Male,C3,Queenstown,0.0,7.0,0
48.0,Male,C3,Queenstown,1.0,6.0,0
19.0,Male,C3,Queenstown,0.0,7.0,0
20.0,Female,C3,Southampton,0.0,34.0,0
7.0,Female,C3,Southampton,0.0,34.0,0
23.0,Male,C3,Southampton,0.0,8.0,0
18.0,Male,C3,Southampton,0.0,34.0,0
14.0,Male,C3,Southampton,0.0,34.0,0
54.0,Female,C3,Southampton,1.0,34.0,0
30.0,Male,C1,Southampton,0.0,27.0,0
19.0,Male,C1,Southampton,0.0,263.0,0
64.0,Male,C1,Southampton,0.0,263.0,0
38.0,Male,C2,Southampton,1.0,13.0,0
37.0,Male,C1,Southampton,0.0,26.0,0
30.0,Male,Crew,Belfast,1.0,0.0,0
38.0,Female,C2,Southampton,0.0,13.0,0
37.0,Male,C1,Southampton,0.0,53.0,0
36.0,Male,C2,Southampton,0.0,26.0,0
37.0,Male,C2,Southampton,0.0,21.0,0
33.0,Male,C2,Southampton,0.0,21.0,0
29.0,Male,C3,Queenstown,0.0,7.0,0
21.0,Male,C3,Southampton,0.0,14.0,0
19.0,Male,C2,Southampton,0.0,26.0,0
26.0,Male,C2,Southampton,0.0,10.0,0
32.0,Male,Crew,Southampton,1.0,0.0,0
47.0,Male,C1,Southampton,0.0,38.0,0
1.0,Male,C3,Cherbourg,0.0,7.0,0
23.0,Male,Crew,Cherbourg,0.0,79.0,0
46.0,Male,C2,Southampton,0.0,10.0,0
20.0,Male,C2,Southampton,0.0,11.0,0
24.0,Male,C2,Southampton,0.0,13.0,0
24.0,Male,C2,Southampton,1.0,13.0,0
31.0,Male,C2,Southampton,0.0,13.0,0
71.0,Male,C1,Cherbourg,0.0,34.0,0
33.0,Male,C3,Southampton,1.0,20.0,0
41.0,Male,C3,Southampton,1.0,7.0,0
10.0,Male,C3,Southampton,0.0,46.0,0
1.0,Male,C3,Southampton,0.0,46.0,0
13.0,Male,C3,Southampton,0.0,46.0,0
12.0,Female,C3,Southampton,0.0,46.0,0
16.0,Female,C3,Southampton,0.0,46.0,0
14.0,Male,C3,Southampton,0.0,46.0,0
42.0,Male,C3,Southampton,1.0,46.0,0
43.0,Female,C3,Southampton,1.0,46.0,0
38.0,Male,C1,Southampton,0.0,30.0,0
41.0,Male,C3,Southampton,1.0,8.0,0
43.0,Male,Crew,Southampton,0.0,0.0,0
32.0,Male,C3,Southampton,0.0,8.0,0
46.0,Male,C1,Cherbourg,0.0,79.0,0
19.0,Male,C3,Southampton,0.0,9.0,0
28.0,Male,C3,Southampton,0.0,7.0,0
24.0,Female,C3,Southampton,0.0,8.0,0
28.0,Male,C3,Southampton,1.0,6.0,0
19.0,Male,C3,Southampton,0.0,6.0,0
28.0,Male,C3,Southampton,1.0,15.0,0
47.0,Male,Crew,Southampton,1.0,0.0,0
54.0,Male,Crew,Southampton,0.0,0.0,0
41.0,Male,C3,Southampton,1.0,14.0,0
45.0,Male,C2,Southampton,0.0,13.0,0
17.0,Female,C3,Queenstown,0.0,7.0,0
21.0,Female,C3,Southampton,0.0,7.0,0
39.0,Male,C2,Southampton,0.0,33.0,0
37.0,Male,Crew,Southampton,0.0,42.0,0
24.0,Male,Crew,Southampton,1.0,0.0,0
45.0,Male,C1,Southampton,1.0,83.0,0
45.0,Male,C2,Southampton,1.0,10.0,0
47.0,Male,C2,Southampton,0.0,26.0,0
30.0,Male,C3,Queenstown,1.0,6.0,0
52.0,Male,Crew,Southampton,0.0,0.0,0
55.0,Male,C1,Southampton,0.0,93.0,0
42.0,Male,C1,Southampton,1.0,42.0,0
20.0,Female,C3,Queenstown,0.0,6.0,0
23.0,Female,C3,Southampton,0.0,7.0,0
30.0,Male,C3,Southampton,1.0,7.0,0
28.0,Female,C3,Southampton,0.0,7.0,0
50.0,Male,C2,Southampton,1.0,65.0,0
51.0,Male,Crew,Southampton,1.0,0.0,0
24.0,Male,C2,Southampton,0.0,73.0,0
30.0,Male,C2,Southampton,0.0,73.0,0
21.0,Male,C2,Southampton,0.0,73.0,0
44.0,Male,C1,Southampton,1.0,51.0,0
18.0,Female,C2,Southampton,0.0,13.0,0
36.0,Male,Crew,Southampton,0.0,0.0,0
55.0,Male,C1,Southampton,0.0,50.0,0
23.0,Male,C2,Southampton,0.0,11.0,0
36.0,Male,C2,Southampton,1.0,13.0,0
50.0,Male,C2,Southampton,1.0,13.0,0
46.0,Male,Crew,Belfast,1.0,0.0,0
44.0,Male,C2,Southampton,1.0,26.0,0
43.0,Male,C3,Southampton,0.0,6.0,0
18.0,Male,C3,Southampton,1.0,22.0,0
42.0,Male,C1,Southampton,1.0,52.0,0
14.0,Male,Crew,Southampton,0.0,0.0,0
22.0,Male,C3,Queenstown,0.0,7.0,0
22.0,Male,Crew,Southampton,1.0,0.0,0
63.0,Male,C2,Southampton,1.0,26.0,0
61.0,Female,C2,Southampton,1.0,26.0,0
43.0,Male,C1,Cherbourg,0.0,30.0,0
42.0,Male,C3,Southampton,1.0,7.0,0
34.0,Male,C2,Southampton,1.0,12.0,0
11.0,Male,C3,Cherbourg,0.0,18.0,0
33.0,Male,C3,Cherbourg,0.0,14.0,0
32.0,Male,C3,Southampton,0.0,7.0,0
17.0,Female,C3,Southampton,0.0,7.0,0
25.0,Female,C3,Southampton,0.0,7.0,0
50.0,Female,C1,Cherbourg,0.0,28.0,0
16.0,Female,C3,Cherbourg,0.0,14.0,0
19.0,Female,C3,Cherbourg,0.0,14.0,0
63.0,Female,C3,Southampton,0.0,8.0,0
42.0,Male,C2,Southampton,1.0,27.0,0
21.0,Male,C3,Southampton,1.0,7.0,0
46.0,Male,C2,Southampton,1.0,15.0,0
24.0,Male,C2,Southampton,0.0,31.0,0
21.0,Male,C2,Southampton,0.0,31.0,0
32.0,Male,C2,Southampton,0.0,10.0,0
55.0,Male,Crew,Belfast,1.0,0.0,0
48.0,Male,C3,Southampton,0.0,7.0,0
34.0,Male,C3,Southampton,0.0,6.0,0
33.0,Male,C3,Southampton,0.0,8.0,0
31.0,Male,C3,Southampton,0.0,7.0,0
49.0,Male,C3,Southampton,0.0,19.54,0
33.0,Male,C3,Southampton,0.0,7.0,0
19.0,Male,C3,Southampton,0.0,19.54,0
8.0,Male,C3,Southampton,0.0,23.0,0
7.0,Female,C3,Southampton,0.0,23.0,0
35.0,Male,C3,Southampton,1.0,23.0,0
36.0,Female,C3,Southampton,1.0,23.0,0
37.0,Male,Crew,Southampton,0.0,0.0,0
46.0,Male,C1,Southampton,1.0,26.0,0
38.0,Male,Crew,Southampton,0.0,0.0,0
50.0,Male,C1,Southampton,0.0,26.0,0
20.0,Female,C3,Southampton,0.0,9.0,0
21.0,Female,C3,Southampton,0.0,9.0,0
21.0,Male,C3,Southampton,0.0,8.0,0
34.0,Male,C2,Southampton,0.0,26.0,0
33.0,Male,C3,Southampton,1.0,7.0,0
22.0,Female,C2,Southampton,0.0,21.0,0
23.0,Male,C3,Queenstown,0.0,7.0,0
35.0,Male,C2,Queenstown,0.0,12.0,0
33.0,Male,Crew,Southampton,1.0,211.0,0
19.0,Male,C3,Southampton,0.0,8.0,0
44.0,Male,C3,Queenstown,0.0,7.0,0
23.0,Male,Crew,Belfast,0.0,0.0,0
58.0,Male,C1,Cherbourg,0.0,29.0,0
41.0,Male,C1,Southampton,1.0,51.0,0
25.0,Male,C3,Cherbourg,1.0,14.0,0
20.0,Female,C3,Cherbourg,1.0,14.0,0
42.0,Male,Crew,Southampton,0.0,0.0,0
23.0,Female,C3,Southampton,0.0,8.0,0
71.0,Male,C2,Queenstown,1.0,12.0,0
1.0,Female,C3,Southampton,0.0,12.0,0
36.0,Female,C3,Southampton,1.0,12.0,0
36.0,Male,C3,Southampton,0.0,7.0,0
27.0,Male,C3,Southampton,1.0,7.0,0
31.0,Male,C2,Southampton,0.0,10.0,0
35.0,Male,C3,Cherbourg,1.0,7.0,0
34.0,Female,C2,Southampton,1.0,26.0,0
35.0,Male,C2,Southampton,0.0,26.0,0
